171027_GrNH2_00min.csv;;Kemi1\Kemi01;27-10-2017 15:31:43;GENESYS 10S UV-Vis;2L9T161212;4.006
nm;A
350;3.3125
351;3.2662
352;3.2296
353;3.1812
354;3.1128
355;3.0488
356;2.9644
357;2.8735
358;2.7839
359;2.6682
360;2.5599
361;2.455
362;2.3649
363;2.2647
364;2.1542
365;2.0547
366;1.9651
367;1.8818
368;1.8013
369;1.7243
370;1.6516
371;1.5883
372;1.5336
373;1.4777
374;1.4299
375;1.3892
376;1.3528
377;1.3237
378;1.3021
379;1.2813
380;1.2627
381;1.2492
382;1.2392
383;1.2323
384;1.2287
385;1.2286
386;1.2306
387;1.2352
388;1.2418
389;1.2499
390;1.2605
391;1.272
392;1.2835
393;1.298
394;1.3138
395;1.328
396;1.3458
397;1.3642
398;1.3812
399;1.3992
400;1.4182
401;1.4356
402;1.4537
403;1.4723
404;1.4904
405;1.5075
406;1.5249
407;1.5423
408;1.5606
409;1.5785
410;1.5945
411;1.6092
412;1.6239
413;1.6385
414;1.6517
415;1.6648
416;1.6779
417;1.6891
418;1.6994
419;1.7102
420;1.7195
421;1.7267
422;1.7333
423;1.7394
424;1.7442
425;1.748
426;1.7509
427;1.7533
428;1.754
429;1.7547
430;1.7539
431;1.7529
432;1.7514
433;1.7491
434;1.7462
435;1.7425
436;1.7394
437;1.7345
438;1.7293
439;1.7245
440;1.7191
441;1.7127
442;1.7061
443;1.6981
444;1.6909
445;1.6827
446;1.6752
447;1.6682
448;1.6599
449;1.6518
450;1.6438
451;1.6357
452;1.6273
453;1.62
454;1.6117
455;1.6036
456;1.5962
457;1.589
458;1.5818
459;1.5758
460;1.5705
461;1.5649
462;1.5592
463;1.5549
464;1.5507
465;1.5469
466;1.5442
467;1.5416
468;1.5401
469;1.539
470;1.539
471;1.5384
472;1.5393
473;1.5403
474;1.5419
475;1.5436
476;1.5462
477;1.549
478;1.5522
479;1.5559
480;1.5595
481;1.5636
482;1.5676
483;1.5718
484;1.5749
485;1.5783
486;1.5829
487;1.5866
488;1.5906
489;1.5936
490;1.5968
491;1.6003
492;1.6023
493;1.6041
494;1.606
495;1.6076
496;1.6088
497;1.6095
498;1.609
499;1.6084
500;1.6073
501;1.6052
502;1.6032
503;1.6002
504;1.597
505;1.5933
506;1.5892
507;1.5835
508;1.578
509;1.5716
510;1.5653
511;1.5571
512;1.5493
513;1.5405
514;1.5305
515;1.5207
516;1.5104
517;1.4997
518;1.4882
519;1.4765
520;1.4648
521;1.4518
522;1.4366
523;1.4219
524;1.4072
525;1.3917
526;1.3758
527;1.3607
528;1.3427
529;1.327
530;1.3117
531;1.2922
532;1.2736
533;1.2527
534;1.2353
535;1.2161
536;1.1941
537;1.1739
538;1.1552
539;1.133
540;1.1103
541;1.0888
542;1.0692
543;1.0491
544;1.0264
545;1.0031
546;0.9793
547;0.9573
548;0.9355
549;0.9135
550;0.8908
551;0.8677
552;0.845
553;0.8224
554;0.8022
555;0.7807
556;0.7576
557;0.7351
558;0.7133
559;0.6913
560;0.6705
561;0.6492
562;0.629
563;0.6088
564;0.5885
565;0.5687
566;0.5496
567;0.5305
568;0.5122
569;0.4933
570;0.4746
571;0.4567
572;0.4404
573;0.4253
574;0.4083
575;0.3926
576;0.379
577;0.3649
578;0.3504
579;0.3367
580;0.3238
581;0.3101
582;0.2979
583;0.2865
584;0.2745
585;0.2636
586;0.2522
587;0.2426
588;0.2323
589;0.2227
590;0.2133
591;0.2045
592;0.1958
593;0.1878
594;0.1804
595;0.1726
596;0.1647
597;0.158
598;0.1523
599;0.1452
600;0.1396
601;0.1339
602;0.1286
603;0.1231
604;0.1181
605;0.1133
606;0.1091
607;0.105
608;0.1003
609;0.0959
610;0.0928
611;0.0891
612;0.0853
613;0.0824
614;0.0792
615;0.076
616;0.0737
617;0.071
618;0.0689
619;0.066
620;0.0631
621;0.0613
622;0.0591
623;0.057
624;0.0554
625;0.0531
626;0.0524
627;0.0501
628;0.0482
629;0.0467
630;0.0458
631;0.0443
632;0.0433
633;0.0418
634;0.0404
635;0.0392
636;0.0389
637;0.0373
638;0.0364
639;0.0352
640;0.0344
641;0.0333
642;0.0325
643;0.0322
644;0.0318
645;0.0307
646;0.0301
647;0.0296
648;0.0291
649;0.0285
650;0.0279
